EVI_mean,MSAVI2_mean,MSI_mean,NDVI_mean,NDWI_I_mean,NDWI_II_mean,NMDI_mean,NMDI_temp_mean,Date,EVI_median,MSAVI2_median,MSI_median,NDVI_median,NDWI_I_median,NDWI_II_median,NMDI_median,NMDI_temp_median,EVI_mode,MSAVI2_mode,MSI_mode,NDVI_mode,NDWI_I_mode,NDWI_II_mode,NMDI_mode,NMDI_temp_mode,EVI_min,MSAVI2_min,MSI_min,NDVI_min,NDWI_I_min,NDWI_II_min,NMDI_min,NMDI_temp_min,EVI_max,MSAVI2_max,MSI_max,NDVI_max,NDWI_I_max,NDWI_II_max,NMDI_max,NMDI_temp_max,EVI_std,MSAVI2_std,MSI_std,NDVI_std,NDWI_I_std,NDWI_II_std,NMDI_std,NMDI_temp_std
1.35,0.68,0.82,0.56,0.33,-0.56,0.44,0.63,2018-10-11,1.36,0.82,0.65,0.64,0.35,-0.62,0.48,0.62,1.36,0.82,0.65,0.79,0.65,-0.72,0.48,0.62,-6457.50,-15.29,0.17,-0.98,-0.99,-1.00,-98.10,-49.00,8290.00,1.00,254.00,1.00,0.88,0.99,49.90,99.00,4.83,0.27,0.41,0.25,0.27,0.20,0.28,0.21
2.01,0.66,0.81,0.53,0.33,-0.52,0.45,0.63,2018-10-18,2.21,0.72,0.75,0.59,0.34,-0.57,0.48,0.63,2.21,0.84,0.75,0.72,0.61,-0.62,0.48,0.63,-15780.00,-13.20,0.15,-0.98,-0.97,-1.00,-464.60,-109.85,16320.00,1.00,102.50,1.00,0.90,0.99,110.75,465.50,40.59,0.23,0.35,0.22,0.25,0.18,0.31,0.25
1.33,0.73,0.84,0.63,0.34,-0.64,0.51,0.60,2018-10-25,1.34,0.87,0.82,0.68,0.33,-0.67,0.53,0.61,1.34,0.87,0.82,1.00,0.26,-0.67,0.53,0.61,-6415.00,-42.32,0.00,-1.00,-1.00,-1.00,-1197.53,-233.00,3448.75,1.00,5191.00,1.00,1.00,1.00,518.88,1198.43,3.76,0.34,2.67,0.24,0.26,0.20,0.65,0.64
1.69,0.60,0.84,0.45,0.28,-0.46,0.47,0.62,2019-03-15,2.32,0.62,0.88,0.44,0.25,-0.47,0.48,0.62,2.32,0.62,0.88,0.40,0.14,-0.50,0.48,0.62,-18895.00,-42.70,0.02,-0.98,-0.92,-1.00,-86.10,-183.85,16265.00,1.00,34.33,1.00,0.96,0.80,184.75,113.04,56.37,0.18,0.26,0.17,0.19,0.15,0.22,0.15
1.46,0.64,0.87,0.49,0.30,-0.50,0.49,0.57,2019-03-22,1.57,0.63,0.86,0.50,0.26,-0.52,0.50,0.57,1.57,0.63,0.86,0.44,0.14,-0.50,0.50,0.57,-14445.00,-45.06,0.02,-1.00,-1.00,-1.00,-68.55,-68.55,15630.00,1.00,14333.00,1.00,0.97,0.99,69.45,66.50,23.33,0.20,9.65,0.19,0.22,0.16,0.17,0.13
1.44,0.69,0.81,0.56,0.33,-0.56,0.51,0.59,2019-03-29,1.48,0.73,0.66,0.57,0.30,-0.58,0.52,0.59,1.48,0.86,0.66,0.50,0.20,-0.57,0.52,0.59,-6785.00,-4.01,0.02,-0.67,-0.99,-0.94,-136.10,-36.00,6280.00,1.00,217.00,1.00,0.96,0.79,36.90,137.00,8.90,0.20,0.33,0.20,0.23,0.16,0.18,0.13
2.08,0.68,0.77,0.55,0.35,-0.53,0.51,0.62,2019-04-05,2.62,0.73,0.77,0.57,0.34,-0.55,0.53,0.62,2.62,0.80,0.86,0.66,0.27,-0.55,0.53,0.62,-22550.00,-4.88,0.03,-0.71,-0.68,-1.00,-46.01,-192.14,21155.00,1.00,5.50,1.00,0.95,0.84,672.20,672.20,58.89,0.20,0.30,0.20,0.23,0.16,0.36,0.32
1.84,0.73,0.76,0.60,0.36,-0.59,0.52,0.63,2019-04-12,1.91,0.80,0.76,0.64,0.36,-0.63,0.55,0.63,1.91,0.86,0.76,0.75,0.29,-0.68,0.55,0.63,-15765.00,-4.19,0.04,-0.69,-1.00,-1.00,-57.26,-595.40,18185.00,1.00,1820.00,1.00,0.96,0.79,596.30,58.16,19.77,0.20,1.00,0.21,0.24,0.16,0.33,0.28
1.74,0.74,0.70,0.62,0.40,-0.59,0.53,0.63,2019-04-19,1.77,0.80,0.63,0.68,0.42,-0.63,0.56,0.63,1.77,0.86,0.63,0.75,0.39,-0.66,0.56,0.63,-13305.00,-3.43,0.05,-0.63,-0.93,-0.90,-225.33,-225.33,9825.00,0.98,62.63,0.95,0.93,0.75,137.45,205.00,10.23,0.21,0.28,0.21,0.23,0.17,0.25,0.19
2.38,0.79,0.51,0.67,0.54,-0.60,0.63,0.69,2019-05-24,2.43,0.83,0.51,0.72,0.58,-0.64,0.63,0.68,2.43,0.86,0.51,0.75,0.60,-0.65,0.63,0.68,-17010.00,-3.96,0.14,-0.67,-0.99,-1.00,-90.94,-153.49,21835.00,1.00,284.00,1.00,0.98,0.74,154.39,24.40,18.03,0.16,0.24,0.18,0.17,0.14,0.19,0.11
2.43,0.83,0.51,0.74,0.57,-0.67,0.60,0.66,2019-05-31,2.46,0.89,0.51,0.82,0.64,-0.71,0.61,0.66,2.46,0.92,0.51,0.86,0.68,-0.72,0.61,0.66,-18645.00,-4.10,0.14,-0.67,-0.99,-1.00,-67.91,-73.59,19620.00,1.00,323.50,1.00,1.00,0.76,74.49,68.81,12.67,0.18,0.28,0.20,0.22,0.17,0.18,0.10
1.99,0.82,0.51,0.71,0.55,-0.65,0.62,0.66,2019-06-14,2.02,0.85,0.40,0.77,0.61,-0.68,0.62,0.66,2.02,0.91,0.40,0.82,0.64,-0.71,0.62,0.66,-9450.00,-13.74,0.15,-0.98,-0.97,-0.95,-1082.56,-8.04,13120.00,1.00,96.00,0.99,0.87,0.99,15.43,1083.46,8.05,0.16,0.20,0.17,0.18,0.15,0.48,0.46
2.36,0.78,0.55,0.66,0.52,-0.60,0.61,0.65,2019-06-21,2.40,0.84,0.53,0.69,0.57,-0.62,0.61,0.65,2.40,0.84,0.53,0.70,0.63,-0.62,0.61,0.65,-16835.00,-12.29,0.18,-0.98,-0.98,-1.00,-31.10,-784.33,10450.00,1.00,174.00,1.00,1.00,0.99,785.23,335.20,12.28,0.17,0.37,0.17,0.16,0.14,0.40,0.38
1.78,0.77,0.60,0.65,0.50,-0.63,0.56,0.60,2019-06-28,1.80,0.82,0.56,0.71,0.55,-0.66,0.56,0.60,1.80,0.91,0.44,0.83,0.67,-0.72,0.56,0.60,-6045.00,-2.94,0.19,-0.60,-0.89,-1.00,-175.26,-25.82,8451.25,0.98,21.00,0.97,0.85,0.74,26.72,176.16,6.38,0.18,0.21,0.21,0.18,0.15,0.15,0.11
1.79,0.69,0.73,0.56,0.40,-0.56,0.51,0.58,2019-07-19,1.82,0.77,0.66,0.64,0.43,-0.59,0.61,0.60,1.82,0.88,0.47,0.79,0.63,-0.68,0.61,0.60,-10050.00,-1.69,0.21,-0.46,-0.73,-0.91,-21.37,-18.34,9600.00,0.98,8.25,0.96,0.81,0.66,22.27,22.27,10.27,0.22,0.26,0.24,0.21,0.17,0.14,0.08
2.58,0.61,0.72,0.46,0.36,-0.43,0.50,0.66,2019-08-23,4.80,0.65,0.65,0.49,0.42,-0.43,0.50,0.66,4.80,0.68,0.51,0.50,0.50,-0.43,0.50,0.66,-30100.00,-1.90,0.24,-0.49,-0.40,-0.87,-108.23,-108.23,28325.00,0.96,2.74,0.92,0.81,0.54,109.13,5.99,129.01,0.19,0.25,0.19,0.21,0.14,0.22,0.10
1.97,0.71,0.75,0.60,0.39,-0.57,0.48,0.60,2019-08-30,2.01,0.83,0.67,0.70,0.45,-0.63,0.50,0.63,2.01,0.89,0.45,0.81,0.68,-0.70,0.50,0.63,-33035.00,-5.31,0.16,-0.73,-0.79,-1.00,-88.15,-22.96,22165.00,1.00,6.92,1.00,0.86,0.80,39.74,89.05,20.33,0.24,0.32,0.25,0.27,0.19,0.19,0.12
2.66,0.61,0.69,0.46,0.37,-0.44,0.50,0.67,2019-09-06,3.75,0.65,0.63,0.49,0.40,-0.44,0.66,0.67,3.75,0.71,0.51,0.52,0.48,-0.46,0.66,0.67,-22570.00,-1.16,0.12,-0.37,-0.46,-0.88,-16.60,-50.32,20955.00,0.96,3.67,0.92,0.85,0.71,51.22,17.50,91.27,0.17,0.21,0.17,0.17,0.13,0.23,0.08
2.30,0.68,0.71,0.55,0.38,-0.52,0.50,0.66,2019-09-20,2.56,0.77,0.67,0.61,0.43,-0.55,0.52,0.66,2.56,0.80,0.48,0.63,0.53,-0.59,0.52,0.66,-25145.00,-3.78,0.19,-0.66,-0.65,-1.00,-115.46,-255.00,27710.00,1.00,6.83,1.00,0.99,0.73,255.90,116.36,47.96,0.22,0.26,0.22,0.24,0.17,0.27,0.18
1.73,0.71,0.76,0.60,0.38,-0.56,0.48,0.61,2019-10-11,1.81,0.83,0.76,0.68,0.43,-0.62,0.50,0.61,1.81,0.83,0.76,0.79,0.64,-0.69,0.50,0.61,-13875.00,-15.91,0.00,-0.99,-1.00,-1.00,-152.79,-265.13,11485.00,1.00,2715.00,1.00,0.97,1.00,266.03,153.69,20.49,0.22,1.59,0.23,0.26,0.17,0.26,0.21
1.76,0.63,0.72,0.49,0.36,-0.47,0.49,0.65,2019-10-18,2.05,0.66,0.66,0.51,0.39,-0.48,0.50,0.65,2.05,0.72,0.66,0.54,0.39,-0.53,0.50,0.65,-18425.00,-7.89,0.01,-0.96,-0.98,-1.00,-181.48,-181.48,16265.00,1.00,187.00,1.00,0.98,0.98,182.38,79.00,39.85,0.19,0.26,0.19,0.20,0.16,0.27,0.19
1.85,0.65,0.68,0.50,0.37,-0.48,0.54,0.67,2019-10-25,2.04,0.67,0.68,0.52,0.39,-0.50,0.54,0.67,2.04,0.73,0.68,0.54,0.39,-0.55,0.54,0.67,-20830.00,-5.40,0.14,-0.76,-0.96,-1.00,-112.85,-622.41,22995.00,0.95,817.50,0.91,1.00,0.96,623.31,31.11,39.41,0.16,0.39,0.16,0.17,0.14,0.35,0.28
1.42,0.71,0.78,0.58,0.35,-0.61,0.54,0.60,2020-03-08,1.50,0.66,0.78,0.58,0.32,-0.63,0.55,0.60,1.50,0.84,0.78,0.54,0.21,-0.62,0.55,0.60,-10220.00,-40.34,0.05,-1.00,-0.99,-1.00,-655.43,-301.42,8610.00,1.00,369.50,1.00,1.00,0.99,302.32,656.33,16.67,0.18,0.42,0.19,0.22,0.16,0.40,0.38
1.52,0.63,0.80,0.48,0.31,-0.49,0.51,0.62,2020-03-15,1.68,0.63,0.80,0.48,0.29,-0.50,0.52,0.62,1.68,0.63,0.92,0.43,0.20,-0.51,0.52,0.62,-14670.00,-34.77,0.08,-0.98,-0.82,-1.00,-175.81,-231.77,13905.00,1.00,5.91,1.00,0.88,0.53,232.67,176.71,31.12,0.15,0.24,0.16,0.17,0.13,0.22,0.16
1.53,0.67,0.81,0.53,0.32,-0.55,0.51,0.61,2020-03-22,1.61,0.70,0.84,0.54,0.29,-0.57,0.53,0.61,1.61,0.66,0.91,0.49,0.19,-0.57,0.53,0.61,-13075.00,-2.79,0.01,-0.58,-0.83,-1.00,-66.57,-90.32,14515.00,1.00,8.91,1.00,1.00,0.74,91.22,67.47,18.84,0.17,0.29,0.18,0.22,0.14,0.20,0.14
1.46,0.68,0.83,0.54,0.32,-0.55,0.50,0.59,2020-04-05,1.50,0.73,0.67,0.56,0.30,-0.58,0.61,0.64,1.50,0.86,0.67,0.50,0.21,-0.57,0.61,0.64,-17620.00,-3.05,0.03,-0.61,-0.99,-0.91,-35.89,-27.14,5700.00,0.98,185.00,0.95,0.96,0.77,36.79,36.79,10.15,0.19,0.31,0.20,0.23,0.16,0.18,0.13
1.61,0.67,0.73,0.53,0.36,-0.52,0.54,0.64,2020-04-12,1.64,0.70,0.73,0.54,0.36,-0.54,0.54,0.64,1.64,0.70,0.80,0.52,0.32,-0.54,0.54,0.64,-8895.00,-1.51,0.15,-0.43,-0.58,-0.89,-114.72,-59.00,7215.00,0.97,5.25,0.94,0.98,0.56,59.90,115.62,7.75,0.17,0.24,0.18,0.19,0.15,0.21,0.13
1.68,0.73,0.73,0.61,0.38,-0.60,0.53,0.63,2020-04-19,1.70,0.80,0.63,0.65,0.39,-0.63,0.56,0.63,1.70,0.86,0.63,0.75,0.34,-0.62,0.56,0.63,-9565.00,-3.72,0.19,-0.65,-0.98,-0.89,-461.73,-203.05,13820.00,0.98,211.00,0.95,0.86,0.79,462.63,462.63,6.20,0.20,0.32,0.21,0.23,0.17,0.30,0.25
2.06,0.76,0.56,0.65,0.51,-0.59,0.60,0.66,2020-05-03,2.20,0.85,0.56,0.70,0.56,-0.63,0.60,0.66,2.20,0.85,0.56,0.75,0.59,-0.67,0.60,0.66,-16875.00,-13.47,0.10,-0.98,-1.00,-1.00,-128.57,-58.61,27895.00,1.00,1558.50,1.00,0.93,0.99,167.14,167.14,29.50,0.19,0.79,0.20,0.20,0.16,0.20,0.13
2.03,0.79,0.54,0.69,0.53,-0.63,0.60,0.67,2020-05-17,2.06,0.85,0.54,0.76,0.59,-0.68,0.61,0.67,2.06,0.91,0.54,0.82,0.63,-0.71,0.61,0.67,-9195.00,-14.82,0.16,-0.99,-0.99,-1.00,-119.33,-58.99,14935.00,1.00,344.00,1.00,0.88,0.99,59.89,120.23,9.38,0.21,0.45,0.21,0.21,0.17,0.20,0.12
2.34,0.83,0.52,0.73,0.57,-0.65,0.60,0.63,2020-06-21,2.38,0.89,0.39,0.80,0.64,-0.69,0.61,0.63,2.38,0.92,0.39,0.85,0.68,-0.73,0.61,0.63,-29665.00,-3.38,0.13,-0.63,-0.96,-1.00,-188.97,-188.97,33220.00,1.00,96.00,1.00,0.93,0.75,189.87,130.32,15.13,0.17,0.22,0.19,0.19,0.15,0.18,0.15
2.08,0.77,0.60,0.67,0.51,-0.63,0.56,0.60,2020-07-12,2.11,0.86,0.60,0.76,0.57,-0.68,0.56,0.60,2.11,0.92,0.60,0.88,0.66,-0.71,0.56,0.60,-15040.00,-6.57,0.12,-0.82,-0.99,-1.00,-122.89,-23.44,21680.00,1.00,401.50,1.00,0.87,0.92,24.34,123.79,17.43,0.21,0.53,0.22,0.19,0.17,0.14,0.09
1.98,0.73,0.69,0.62,0.44,-0.61,0.52,0.59,2020-07-26,2.02,0.86,0.58,0.75,0.51,-0.67,0.61,0.61,2.02,0.92,0.58,0.86,0.67,-0.73,0.61,0.61,-33945.00,-4.10,0.10,-0.71,-0.98,-1.00,-54.10,-43.00,21910.00,1.00,142.33,1.00,0.97,0.88,43.90,55.00,19.43,0.25,0.30,0.27,0.24,0.19,0.17,0.11
