EVI_mean,MSAVI2_mean,MSI_mean,NDVI_mean,NDWI_I_mean,NDWI_II_mean,NMDI_mean,NMDI_temp_mean,Date,EVI_median,MSAVI2_median,MSI_median,NDVI_median,NDWI_I_median,NDWI_II_median,NMDI_median,NMDI_temp_median,EVI_mode,MSAVI2_mode,MSI_mode,NDVI_mode,NDWI_I_mode,NDWI_II_mode,NMDI_mode,NMDI_temp_mode,EVI_min,MSAVI2_min,MSI_min,NDVI_min,NDWI_I_min,NDWI_II_min,NMDI_min,NMDI_temp_min,EVI_max,MSAVI2_max,MSI_max,NDVI_max,NDWI_I_max,NDWI_II_max,NMDI_max,NMDI_temp_max,EVI_std,MSAVI2_std,MSI_std,NDVI_std,NDWI_I_std,NDWI_II_std,NMDI_std,NMDI_temp_std
1.51,0.68,0.80,0.55,0.33,-0.55,0.45,0.63,2018-10,1.54,0.77,0.80,0.62,0.34,-0.61,0.53,0.59,1.54,0.86,0.45,0.78,0.64,-0.71,0.59,0.59,-100.00,-5.00,0.20,-0.94,-0.96,-0.91,-4.77,-3.86,100.00,1.00,6.00,1.00,0.87,0.97,4.76,5.00,1.41,0.24,0.30,0.24,0.26,0.19,0.23,0.14
1.58,0.64,0.84,0.49,0.30,-0.50,0.50,0.60,2019-03,1.46,0.67,0.85,0.50,0.26,-0.52,0.55,0.58,1.46,0.61,1.01,0.44,0.15,-0.51,0.61,0.61,-100.00,-3.52,0.03,-0.64,-0.55,-0.85,-4.83,-0.08,100.00,1.00,3.89,1.00,0.96,0.68,2.52,4.76,2.49,0.18,0.28,0.17,0.21,0.14,0.17,0.09
1.71,0.72,0.75,0.60,0.37,-0.58,0.52,0.62,2019-04,1.54,0.77,0.73,0.64,0.37,-0.61,0.59,0.61,1.54,0.86,0.83,0.74,0.30,-0.61,0.65,0.64,-100.00,-3.58,0.04,-0.64,-0.56,-0.88,-4.96,-0.30,100.00,0.97,5.26,0.94,0.94,0.79,4.36,4.80,1.51,0.20,0.29,0.21,0.23,0.16,0.19,0.12
2.56,0.79,0.52,0.67,0.54,-0.60,0.62,0.68,2019-05,2.56,0.83,0.48,0.72,0.58,-0.64,0.66,0.67,2.56,0.86,0.45,0.76,0.61,-0.64,0.66,0.64,-100.00,-3.91,0.16,-0.66,-0.51,-0.94,-4.65,-0.41,100.00,0.99,5.20,0.98,0.86,0.76,4.90,4.90,2.29,0.17,0.20,0.18,0.18,0.15,0.17,0.07
2.14,0.82,0.52,0.72,0.55,-0.65,0.61,0.64,2019-06,2.44,0.88,0.48,0.78,0.61,-0.68,0.64,0.64,2.44,0.90,0.45,0.81,0.65,-0.71,0.61,0.61,-100.00,-2.25,0.17,-0.53,-0.54,-0.91,-3.59,-0.13,100.00,0.97,3.35,0.94,0.86,0.68,3.33,4.49,0.94,0.15,0.19,0.17,0.17,0.15,0.13,0.07
1.98,0.70,0.69,0.57,0.43,-0.56,0.51,0.59,2019-07,1.53,0.77,0.66,0.64,0.44,-0.59,0.60,0.61,2.52,0.88,0.45,0.80,0.65,-0.69,0.60,0.61,-100.00,-1.90,0.24,-0.49,-0.51,-0.92,-4.68,-0.08,100.00,0.98,3.45,0.95,0.83,0.65,3.75,4.69,2.48,0.22,0.24,0.23,0.20,0.17,0.14,0.07
2.53,0.66,0.73,0.52,0.39,-0.49,0.51,0.62,2019-08,2.54,0.73,0.65,0.57,0.43,-0.52,0.60,0.61,2.54,0.84,0.46,0.71,0.63,-0.58,0.60,0.61,-100.00,-2.86,0.09,-0.60,-0.57,-1.00,-4.89,-0.54,100.00,0.96,3.58,0.93,0.93,0.82,4.50,4.82,7.11,0.21,0.28,0.22,0.23,0.16,0.18,0.09
2.24,0.70,0.70,0.58,0.40,-0.55,0.50,0.63,2019-09,2.50,0.79,0.66,0.65,0.43,-0.60,0.58,0.61,2.50,0.88,0.45,0.79,0.66,-0.67,0.61,0.61,-100.00,-1.94,0.15,-0.50,-0.52,-0.88,-3.81,-0.10,100.00,0.96,3.26,0.92,0.85,0.72,2.01,4.71,3.37,0.21,0.25,0.22,0.23,0.17,0.20,0.09
1.67,0.69,0.70,0.56,0.39,-0.53,0.52,0.64,2019-10,1.56,0.76,0.67,0.61,0.42,-0.57,0.58,0.64,1.56,0.80,0.67,0.66,0.43,-0.61,0.61,0.61,-100.00,-1.65,0.21,-0.45,-0.65,-0.86,-3.55,-0.16,100.00,0.96,4.91,0.93,0.84,0.64,3.28,4.45,1.80,0.18,0.24,0.19,0.20,0.15,0.20,0.10
1.57,0.67,0.79,0.53,0.33,-0.55,0.53,0.61,2020-03,1.46,0.70,0.79,0.54,0.31,-0.57,0.60,0.60,1.46,0.67,0.84,0.49,0.21,-0.57,0.60,0.60,-100.00,-3.14,0.06,-0.62,-0.67,-0.87,-3.99,-4.82,100.00,0.96,4.05,0.92,0.89,0.79,4.11,4.89,2.61,0.17,0.28,0.18,0.21,0.14,0.17,0.10
1.56,0.71,0.75,0.58,0.37,-0.58,0.53,0.62,2020-04,1.50,0.77,0.73,0.61,0.36,-0.61,0.58,0.61,1.50,0.86,0.83,0.60,0.30,-0.61,0.55,0.55,-100.00,-3.06,0.14,-0.61,-0.59,-0.88,-4.73,-0.19,100.00,0.97,4.81,0.94,0.87,0.75,2.25,4.30,1.09,0.19,0.28,0.20,0.22,0.16,0.19,0.11
2.31,0.79,0.54,0.68,0.54,-0.62,0.60,0.66,2020-05,2.47,0.86,0.48,0.75,0.59,-0.66,0.64,0.64,2.47,0.89,0.45,0.79,0.61,-0.68,0.64,0.64,-100.00,-5.00,0.12,-0.98,-0.97,-0.93,-4.40,-0.91,100.00,1.00,5.73,1.00,0.88,0.99,3.25,4.93,2.27,0.19,0.23,0.20,0.20,0.16,0.17,0.08
2.42,0.82,0.51,0.72,0.57,-0.64,0.61,0.65,2020-06,2.58,0.88,0.46,0.78,0.63,-0.68,0.65,0.65,2.58,0.91,0.43,0.83,0.68,-0.68,0.65,0.65,-100.00,-2.73,0.13,-0.58,-0.73,-0.95,-4.89,-4.50,100.00,1.00,3.41,1.00,0.90,0.74,4.88,4.92,1.53,0.17,0.20,0.18,0.18,0.15,0.14,0.07
2.36,0.77,0.59,0.67,0.51,-0.61,0.56,0.61,2020-07,2.57,0.86,0.51,0.75,0.57,-0.66,0.60,0.61,2.57,0.92,0.45,0.82,0.66,-0.69,0.60,0.61,-99.87,-4.62,0.11,-0.70,-0.99,-0.89,-4.96,-0.99,100.00,0.97,5.35,0.95,0.86,0.77,4.55,4.89,1.86,0.20,0.22,0.22,0.19,0.16,0.13,0.07
1.87,0.73,0.72,0.63,0.43,-0.60,0.52,0.59,2020-08,2.51,0.86,0.62,0.75,0.50,-0.68,0.59,0.58,2.51,0.92,0.45,0.85,0.67,-0.72,0.59,0.61,-99.93,-3.12,0.19,-0.61,-0.51,-0.89,-4.59,-0.12,100.00,0.97,3.63,0.94,0.85,0.71,3.53,4.83,1.19,0.24,0.31,0.26,0.26,0.19,0.15,0.08
2.01,0.73,0.70,0.62,0.43,-0.58,0.50,0.62,2020-09,2.47,0.86,0.61,0.73,0.51,-0.65,0.58,0.61,2.47,0.89,0.45,0.82,0.67,-0.71,0.61,0.61,-100.00,-5.00,0.15,-0.98,-0.96,-0.88,-3.63,-0.85,100.00,0.97,5.68,0.95,0.84,0.99,3.75,4.53,1.81,0.23,0.29,0.24,0.26,0.18,0.19,0.10
1.73,0.70,0.65,0.57,0.43,-0.53,0.54,0.63,2020-10,1.58,0.77,0.61,0.63,0.46,-0.57,0.60,0.65,1.58,0.83,0.48,0.71,0.59,-0.63,0.60,0.60,-100.00,-4.96,0.05,-0.71,-0.75,-1.00,-4.60,-3.76,100.00,0.97,5.28,0.94,0.86,0.72,4.66,4.66,2.24,0.19,0.21,0.19,0.18,0.15,0.17,0.08
1.40,0.61,0.88,0.46,0.26,-0.49,0.48,0.60,2021-03,1.41,0.63,0.89,0.46,0.22,-0.51,0.53,0.58,1.41,0.62,1.02,0.43,0.13,-0.52,0.59,0.61,-100.00,-2.71,0.03,-0.58,-0.58,-1.00,-4.80,-0.32,100.00,0.96,4.25,0.93,0.96,0.76,4.86,4.86,3.36,0.17,0.28,0.17,0.20,0.14,0.18,0.10
2.23,0.66,0.73,0.52,0.37,-0.50,0.51,0.63,2021-04,2.49,0.70,0.70,0.53,0.36,-0.52,0.59,0.59,2.49,0.67,0.70,0.48,0.33,-0.54,0.59,0.59,-100.00,-4.98,0.02,-0.77,-0.95,-0.99,-4.60,-4.28,100.00,1.00,4.10,1.00,0.97,0.88,4.16,5.00,5.54,0.19,0.26,0.19,0.21,0.16,0.20,0.11
2.24,0.74,0.65,0.62,0.45,-0.57,0.55,0.63,2021-05,2.48,0.80,0.61,0.67,0.46,-0.61,0.59,0.61,2.48,0.83,0.58,0.71,0.50,-0.62,0.59,0.61,-100.00,-3.31,0.07,-0.62,-0.79,-1.00,-4.46,-0.67,100.00,1.00,5.72,1.00,0.92,0.77,3.84,4.90,3.50,0.20,0.26,0.21,0.22,0.17,0.18,0.10
2.36,0.83,0.51,0.74,0.57,-0.66,0.61,0.66,2021-06,2.63,0.90,0.45,0.82,0.64,-0.71,0.65,0.64,2.63,0.93,0.42,0.89,0.69,-0.70,0.65,0.64,-100.00,-2.67,0.15,-0.58,-0.90,-0.92,-4.71,-0.86,100.00,0.98,6.00,0.95,0.88,0.70,4.66,4.84,1.04,0.19,0.24,0.21,0.21,0.17,0.17,0.08
2.42,0.77,0.60,0.66,0.51,-0.62,0.56,0.61,2021-07,2.63,0.86,0.52,0.77,0.59,-0.67,0.60,0.61,2.63,0.92,0.42,0.88,0.69,-0.71,0.60,0.61,-99.95,-5.00,0.12,-0.99,-0.98,-0.92,-4.48,-3.00,100.00,1.00,5.89,1.00,0.91,0.99,4.96,4.96,2.47,0.22,0.26,0.24,0.21,0.18,0.13,0.07
2.39,0.75,0.64,0.65,0.49,-0.60,0.55,0.60,2021-08,2.65,0.86,0.51,0.78,0.59,-0.68,0.60,0.61,2.65,0.92,0.42,0.87,0.69,-0.71,0.60,0.61,-100.00,-4.95,0.07,-0.81,-0.98,-1.00,-4.16,-3.00,100.00,1.00,5.80,1.00,0.96,0.91,3.90,4.97,2.37,0.24,0.30,0.26,0.25,0.19,0.14,0.08
2.42,0.75,0.64,0.64,0.47,-0.59,0.54,0.63,2021-09,2.59,0.85,0.52,0.75,0.57,-0.65,0.60,0.60,2.59,0.91,0.43,0.82,0.69,-0.71,0.60,0.60,-100.00,-2.55,0.15,-0.56,-0.58,-0.90,-4.89,-4.51,100.00,0.98,4.07,0.95,0.92,0.72,4.28,4.28,3.56,0.21,0.29,0.24,0.25,0.18,0.18,0.08
1.89,0.70,0.68,0.57,0.40,-0.54,0.53,0.65,2021-10,1.57,0.77,0.62,0.62,0.45,-0.57,0.61,0.64,1.57,0.87,0.55,0.75,0.50,-0.67,0.61,0.64,-100.00,-2.76,0.16,-0.58,-0.47,-0.97,-4.59,-0.22,100.00,1.00,3.32,1.00,0.87,0.66,2.68,5.00,4.10,0.20,0.24,0.21,0.21,0.16,0.20,0.09
1.22,0.61,0.93,0.46,0.23,-0.51,0.46,0.61,2022-03,1.36,0.64,0.98,0.46,0.18,-0.53,0.53,0.60,0.69,0.64,1.11,0.45,0.11,-0.54,0.53,0.53,-100.00,-5.00,0.00,-0.86,-1.00,-1.00,-4.90,-5.00,100.00,1.00,6.00,1.00,0.96,0.93,4.76,5.00,2.24,0.20,0.31,0.19,0.23,0.16,0.20,0.13
1.54,0.69,0.77,0.56,0.35,-0.55,0.52,0.62,2022-04,1.48,0.73,0.77,0.57,0.33,-0.57,0.59,0.61,1.48,0.85,0.86,0.53,0.25,-0.57,0.53,0.64,-100.00,-2.51,0.04,-0.56,-0.58,-1.00,-4.72,-0.37,100.00,1.00,5.48,1.00,1.00,0.66,3.67,4.89,1.61,0.19,0.27,0.20,0.21,0.16,0.19,0.11
2.31,0.79,0.54,0.68,0.53,-0.62,0.60,0.67,2022-05,2.53,0.86,0.48,0.75,0.59,-0.66,0.64,0.65,2.53,0.89,0.45,0.79,0.62,-0.68,0.64,0.65,-100.00,-4.12,0.12,-0.70,-0.94,-0.92,-3.22,-5.00,100.00,0.98,5.97,0.97,0.89,0.79,2.28,4.12,2.05,0.20,0.23,0.21,0.20,0.17,0.18,0.08
2.24,0.80,0.52,0.69,0.55,-0.63,0.62,0.65,2022-06,2.52,0.85,0.48,0.75,0.60,-0.66,0.64,0.64,2.52,0.88,0.43,0.79,0.66,-0.69,0.64,0.64,-100.00,-1.74,0.16,-0.47,-0.50,-0.91,-3.85,-0.08,100.00,0.97,3.56,0.95,0.87,0.65,3.92,4.75,1.49,0.16,0.19,0.18,0.17,0.14,0.14,0.07
1.97,0.74,0.64,0.64,0.47,-0.61,0.53,0.60,2022-07,2.58,0.86,0.58,0.74,0.52,-0.67,0.60,0.61,2.58,0.92,0.42,0.89,0.68,-0.71,0.60,0.61,-100.00,-5.00,0.00,-1.00,-1.00,-0.90,-4.77,-2.60,100.00,0.97,6.00,0.95,0.85,1.00,4.05,5.00,1.26,0.23,0.25,0.25,0.21,0.18,0.14,0.07
1.83,0.70,0.74,0.59,0.40,-0.58,0.50,0.59,2022-08,1.54,0.82,0.67,0.69,0.44,-0.64,0.53,0.58,2.54,0.91,0.45,0.83,0.67,-0.71,0.60,0.61,-100.00,-2.57,0.00,-0.58,-1.00,-0.90,-3.72,-1.00,100.00,0.98,5.97,0.95,0.84,0.78,4.30,4.62,1.53,0.25,0.30,0.27,0.25,0.20,0.15,0.09
2.33,0.74,0.69,0.62,0.43,-0.58,0.52,0.62,2022-09,2.55,0.86,0.61,0.73,0.51,-0.64,0.60,0.60,2.55,0.89,0.45,0.81,0.66,-0.70,0.60,0.60,-100.00,-5.00,0.13,-0.97,-0.96,-1.00,-4.96,-5.00,100.00,1.00,5.71,1.00,0.89,0.99,4.23,5.00,3.06,0.23,0.29,0.24,0.25,0.19,0.18,0.09
1.69,0.72,0.70,0.59,0.40,-0.58,0.52,0.64,2022-10,1.59,0.80,0.64,0.67,0.46,-0.63,0.59,0.60,1.59,0.86,0.55,0.74,0.56,-0.68,0.59,0.60,-100.00,-4.80,0.16,-0.80,-0.88,-0.92,-4.96,-3.11,100.00,0.98,5.83,0.96,0.84,0.92,4.74,5.00,1.71,0.20,0.25,0.21,0.22,0.17,0.20,0.10
1.54,0.55,0.61,0.41,0.45,-0.43,0.42,0.68,2023-03,1.46,0.61,0.58,0.43,0.46,-0.46,0.54,0.66,1.46,0.64,0.42,0.46,0.62,-0.55,0.59,0.59,-100.00,-5.00,0.00,-1.00,-1.00,-1.00,-4.99,-5.00,100.00,1.00,6.00,1.00,1.00,1.00,4.90,5.00,5.41,0.24,0.28,0.21,0.20,0.20,0.26,0.13
2.21,0.71,0.68,0.58,0.42,-0.54,0.55,0.62,2023-04,2.48,0.77,0.64,0.60,0.43,-0.57,0.60,0.61,2.48,0.83,0.55,0.68,0.48,-0.57,0.60,0.61,-100.00,-4.59,0.00,-1.00,-1.00,-1.00,-4.37,-2.47,100.00,1.00,5.81,1.00,0.90,1.00,4.84,4.86,5.69,0.19,0.26,0.20,0.21,0.16,0.16,0.09
2.13,0.81,0.54,0.72,0.53,-0.65,0.59,0.66,2023-05,2.46,0.88,0.48,0.79,0.59,-0.69,0.64,0.64,2.46,0.90,0.48,0.81,0.61,-0.70,0.61,0.61,-99.70,-1.75,0.17,-0.47,-0.48,-0.90,-3.15,-0.43,100.00,0.98,4.34,0.96,0.87,0.59,2.30,4.05,0.99,0.18,0.24,0.20,0.21,0.16,0.18,0.09
2.59,0.81,0.50,0.71,0.58,-0.64,0.62,0.67,2023-06,2.59,0.86,0.42,0.77,0.64,-0.68,0.64,0.67,2.59,0.89,0.39,0.81,0.70,-0.68,0.64,0.64,-100.00,-4.32,0.00,-0.69,-1.00,-0.93,-2.71,-1.00,100.00,0.97,5.92,0.95,0.89,0.78,3.13,3.61,2.17,0.19,0.21,0.19,0.19,0.16,0.15,0.08
2.18,0.75,0.60,0.64,0.50,-0.61,0.56,0.61,2023-07,2.56,0.83,0.55,0.70,0.54,-0.64,0.61,0.61,2.56,0.92,0.39,0.83,0.70,-0.69,0.64,0.64,-100.00,-5.00,0.00,-0.97,-1.00,-0.90,-4.58,-1.00,100.00,1.00,6.00,1.00,0.91,0.98,2.42,5.00,2.16,0.21,0.22,0.22,0.19,0.17,0.14,0.08
2.35,0.73,0.69,0.62,0.45,-0.58,0.53,0.60,2023-08,2.58,0.86,0.58,0.74,0.53,-0.64,0.60,0.61,2.58,0.92,0.42,0.83,0.68,-0.70,0.60,0.61,-100.00,-3.89,0.00,-0.67,-1.00,-0.88,-4.67,-1.00,100.00,0.97,5.26,0.94,0.88,0.82,3.60,5.00,2.85,0.24,0.32,0.25,0.25,0.19,0.15,0.09
1.87,0.75,0.69,0.65,0.44,-0.61,0.51,0.62,2023-09,2.43,0.86,0.58,0.78,0.54,-0.69,0.58,0.61,2.43,0.92,0.42,0.86,0.69,-0.75,0.61,0.61,-100.00,-3.63,0.12,-0.65,-0.56,-1.00,-4.71,-0.56,100.00,0.97,6.00,0.94,0.85,0.69,2.42,4.55,1.17,0.23,0.31,0.25,0.26,0.20,0.18,0.09
1.99,0.76,0.65,0.65,0.45,-0.61,0.55,0.62,2023-10,1.62,0.83,0.61,0.72,0.50,-0.66,0.59,0.59,2.38,0.89,0.45,0.80,0.64,-0.71,0.59,0.59,-100.00,-4.33,0.13,-0.68,-0.97,-0.94,-4.87,-4.56,100.00,1.00,5.62,0.99,0.87,0.59,4.81,4.85,2.58,0.18,0.24,0.20,0.21,0.16,0.16,0.09
